"12h AM/PM","12g Sáng/Chiều"
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Báo cáo này phụ thuộc vào cấu hình múi giờ. Khi múi giờ thay đổi, các thống kê chu kỳ cần được làm mới."
"This Role no longer exists.","Vai trò này không còn tồn tại"
"This Role no longer exists","Vai trò này không còn tồn tại"
"This section is not allowed.","Phần này không được cho phép."
"This tab contains invalid data. Please solve the problem before saving.","@FIXME: Tab này có chứa dữ liệu không hợp lệ.  Hãy giải quyết vấn đề trước khi lưu."
"This user no longer exists","@FIXME: Thành viên này không còn tồn tại"
"This user no longer exists.","Thành viên này không còn tồn tại"
Thumbnail,"@FIXME: thumbnail"
"Timeout limit for response from synchronize process was reached.","Giới hạn thời gian chờ để thực hiện quá trình đồng bộ hóa."
"Time selection:","Thời gian lựa chọn:"
Time,"Thời gian"
Time:,"Thời gian:"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Để hủy bỏ ủy quyền chờ xử lý và giải phóng số tiền đã được sử dụng trong quá trình thanh toán này, bấm Hủy bỏ."
to,đến
To,Đến
"Toggle Editor","Chuyển biên tập"
Tools,"@FIXME: Công cụ"
"Top 5 Search Terms","@FIXME: Top 5 Điều kiện tìm kiếm"
"Total Amount","@FIXME: tổng số tiền"
Total,"Các công cụ"
"Total %d records found","@FIXME: Tổng số % d hồ sơ tìm thấy"
"Total Invoiced","Tổng số hóa đơn"
"Total of %d record(s) have been deleted.","Tổng số %d (các) bản ghi đã được xóa."
"Total of %d record(s) have been updated.","Tổng số %d (các) bản ghi đã được cập nhật."
"Total of %d record(s) were canceled.","Tổng số %d (các) bản ghi đã được hủy bỏ."
"Total of %d record(s) were deleted.","Tổng số %d (các) bản ghi đã xóa."
"Total of %d record(s) were deleted","Tổng số %d (các) bản ghi đã xóa"
"Total of %d record(s) were successfully deleted","@FIXME: Tổng số % d kỷ lục (s) đã được xóa thành công"
"Total of %d record(s) were successfully updated","@FIXME: Tổng số % d kỷ lục (s) đã được cập nhật thành công"
"Total of %d record(s) were updated.","Tổng số %d (các) bản ghi đã cập nhật."
"Total of %d record(s) were updated","Tổng số %d (các) bản ghi đã cập nhật"
"Total Order Amount","Tổng số tiền đặt hàng"
"Total Refunded","Tổng số tiền hoàn lại"""
"To use PayPal Payflow Link you must configure some settings in your Payflow account by logging into","Để sử dụng liên kết PayPal Payflow, Quý khách cần đăng nhập vào và cấu hình một số thiết lập trong tài khoản Payflow"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","@FIXME: Để sử dụng PayPal Payflow Link, bạn phải cấu hình Liên kết tài khoản PayPal Payflow của bạn trên trang web PayPal."
"To use PayPal Payments Advanced you must configure some settings in your PayPal Payments Advanced account by logging into","Để sử dụng PayPal Payments Advanced, Quý khách cần đăng nhập vào và cấu hình một số thiết lập trong tài khoản PayPal Payments Advanced"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","@FIXME: Để sử dụng PayPal Thanh toán nâng cao, bạn phải cấu hình tài khoản chi tiết thanh toán PayPal của bạn trên trang web PayPal."
"Tracking number can not be empty.","@FIXME: Số theo dõi không thể để trống."
"Tracking number cannot be empty.","Số theo dõi không thể để trống."
"Tracking number %s for %s assigned","Số theo dõi %s cho %s đã được gán"
"Track order","@FIXME: để theo dõi"
"Track Order","Theo dõi đơn hàng"
"Track this shipment","Theo dõi lô hàng này"
"Transactional Emails","Các thư điện tử giao dịch"
"Transaction Data","Dữ liệu giao dịch"
"Transaction Details","Các chi tiết giao dịch"
"Transaction ID","ID giao dịch"
Transactions,"Các giao dịch"
"Transaction Type","Loại giao dịch"
"Try Magento Go for Free","Thử sử dụng miễn phí STCMeCOM"
Type,Loại
Type:,Loại:
"Unable to cancel the credit memo.","Không thể hủy bản ghi tín dụng."
"Unable to find a Email Template to delete.","Không tìm thấy mẫu thư điện tử để xóa."
"Unable to find a poll to delete","@FIXME: Không thể tìm thấy một cuộc thăm dò để xóa"
"Unable to find a poll to delete.","Không tìm thấy bình chọn để xóa."
"Unable to find a tag to delete","@FIXME: Không thể tìm thấy một thẻ để xoá"
"Unable to find a tag to delete.","Không tìm thấy thẻ để xóa."
"Unable to find a user to delete","@FIXME: Không thể tìm thấy một người sử dụng để xóa"
"Unable to find a user to delete.","Không tìm thấy thành viên để xóa."
"Unable to initialize import model","Không thể bắt đầu nhập mô hình"
"Unable to refresh lifetime statistics.","Không thể làm mới các thống kê chu kỳ."
"Unable to refresh recent statistics.","Không thể làm mới các thống kê hiện tại."
"Unable to save Cron expression","@FIXME: Không thể lưu biểu Cron"
"Unable to save the cron expression.","Không thể lưu cron expression."
"Unable to save the invoice.","Không thể lưu hóa đơn."
"Unable to send the invoice email.","Không thể gửi thư điện tử hóa đơn."
"Unable to send the shipment email.","Không thể gửi thư điện tử lô hàng."
"Unable to update transaction details.","Không thể cập nhật các chi tiết giao dịch."
"Unable to void the credit memo.","Không thể hết hiệu lực bản ghi tín dụng."
Uninstall,"@FIXME: Uninstall"
"Uninstalling $pkg, please wait...","@FIXME: Gỡ cài đặt $ pkg, vui lòng đợi..."
"Uninstalling selected packages, please wait...","@FIXME: Gỡ cài đặt các gói lựa chọn, xin vui lòng chờ..."
"Unknown error","@FIXME: lỗi không xác định"
Unknown,"Không xác định"
Unlimited,"Không giới hạn"
"Unselect All","@FIXME: Bỏ chọn tất cả"
"Unselect Visible","@FIXME: Bỏ chọn Visible"
Update,"Cập nhật"
"Updated At","Cập nhật vào"
"Upgrade all available packages","@FIXME: Nâng cấp tất cả các gói có sẵn"
"Upgrade All Available Packages","@FIXME: Tất cả các gói nâng cấp có sẵn"
"Upgrade all packages","@FIXME: Nâng cấp tất cả các gói"
Upgrade,"@FIXME: nâng cấp"
"Upgrading all available packages, please wait...","@FIXME: Nâng cấp tất cả các gói có sẵn, vui lòng đợi..."
"Upgrading all packages, please wait...","@FIXME: Nâng cấp tất cả các gói, vui lòng đợi..."
"Upgrading $pkg, please wait...","@FIXME: Nâng cấp $ pkg, vui lòng đợi..."
"Upgrading selected packages, please wait...","@FIXME: Nâng cấp các gói lựa chọn, xin vui lòng chờ..."
"Upload and Install","@FIXME: Tải và cài đặt"
"Uploaded file is larger than %.2f kilobytes allowed by server","Máy chủ cho phép tải lên tập tin lớn hơn %.2f kilobytes"
"Upload Files","Tải lên các tập tin"
"Upload File","Tải lên tập tin"
"Upload HTTP Error","Lỗi HTTP tải lên"
"Upload import file","Tải lên tập tin được chọn"
"Upload I/O Error","Lỗi I/O tải lên"
"Upload local file:","@FIXME: Tải lên tập tin địa phương:"
"Upload Local File","@FIXME: Tải lên tập tin địa phương"
"Upload Security Error","Lỗi bảo mật tải lên"
"Urlrewrite Information","@FIXME: Thông tin Urlrewrite"
"URL Rewrite Information","Thông tin sao chép URL"
"Url Rewrite Management","@FIXME: Quản lý Rewrite Url"
"URL Rewrite Management","Quản lý sao chép URL"
"URL Rewrite","Sao chép URL"
"Use All Available Attributes","Sử dụng tất cả các thuộc tính nhận được"
"Use Config Settings","Sử dụng các thiết lập cấu hình"
"Used as Default For","Được sử dụng mặc định cho"
"Used Currently For","Hiện được sử dụng cho"
"Use default","@FIXME: sử dụng mặc định"
"Use Default","Sử dụng mặc định"
"Use Default Value","Sử dụng giá trị mặc định"
"Use Default Variable Values","Sử dụng các giá trị biến mặc định"
"Use FTP Connection","Sử dụng kết nối FTP"
"User Email","Thư điện tử thành viên"
User,"@FIXME: người sử dụng"
"User ID","ID thành viên"
"User Information","Thông tin thành viên"
"User Info","Thông tin thành viên"
"User Name is required field.","Tên thành viên là trường bắt buộc phải nhập."
"User name","Tên thành viên"
"User Name:","Tên thành viên:"
"User Name","Tên thành viên"
"User Password","Mật khẩu thành viên"
"User Roles","Các vai trò thành viên"
"User Roles Information","Thông tin các vai trò thành viên"
"User Role","Vai trò thành viên"
Users,"Các thành viên"
"User Type Resources","Các tài nguyên loại thành viên"
"User was successfully deleted","@FIXME: Người dùng đã được xóa thành công"
"User was successfully saved","@FIXME: Người dùng đã được lưu thành công"
"User with the same User Name or Email aleady exists","@FIXME: Người sử dụng với cùng Tên tài khoản hoặc địa chỉ Email aleady tồn tại"
"- Use the %s buttons to select month","- Sử dụng nút %s để chọn tháng"
"- Use the %s, %s buttons to select year","- Sử dụng nút %s, %s để chọn năm"
"Use website","@FIXME: sử dụng trang web"
"Use Website","Sử dụng website"
"Validation Results","Các kết quả xác nhận"
"Value Delimiter:","Dấu phân cách giá trị:"
Value,"Giá trị"
Variable,Biến
"Variable Code","Mã biến"
"Variable HTML Value","Biến giá trị HTML"
"Variable ID","ID biến"
"Variable Name","Tên biến"
"Variable Plain Value","Biến giá trị đơn giản"
"VAT Number is Invalid","Số VAT không hợp lệ"
"VAT Number is Valid","Số VAT hợp lệ"
"Verifier code: %s","Mã xác minh: %s"
Version,"@FIXME: Version"
Version:,"@FIXME: Version:"
"View Actions XML","Xem các hoạt động XML"
View,"@FIXME: quang cảnh"
"View Full Size","Xem kích thước đầy đủ"
"View Memo for #%s","Xem bản ghi về #%s"
"View Memo","Xem bản ghi"
"View Shipment","Xem lô hàng"
"View Statistics for","@FIXME: Xem Thống kê cho"
"View Statistics For:","Xem thống kê về:"
Visibility:,"Khả năng hiển thị:"
Warning,"Cảnh báo"
"Warning! Empty value can cause problems with CSV format.","Cảnh báo! Giá trị rỗng có thể gây lỗi cho định dạng CSV."
"Warning: Please do not close the window during importing/exporting data","Cảnh báo: Xin không đóng cửa sổ trình duyệt trong quá trình nhập/ kết xuất dữ liệu"
"Warning: Please don't close window during importing/exporting data",@TODO
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Cảnh báo!\r\nHành động này sẽ loại bỏ thành viên này khỏi vai trò đã đăng ký\r\nQuý khách có chắc chắn không?"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","@FIXME: Cảnh báo! RnThis hành động sẽ loại bỏ người dùng từ này đã được giao rolernAre Bạn có chắc chắn?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Cảnh báo!\r\nHành động này sẽ loại bỏ những thành viên này khỏi các vai trò đã đăng ký\r\nQuý khách có chắc chắn không?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","@FIXME: Cảnh báo! RnThis hành động sẽ loại bỏ những người dùng đã được giao rolesrnAre Bạn có chắc chắn?"
"Watermark File for %s","Tập tin dấu bản quyền cho %s"
"We appreciate our merchants\' feedback, please <a href=""#"" onclick=""surveyAction(\'yes\'); return false;"">take our survey</a> to provide insight on the features you would like included in Magento. <a href=""#"" onclick=""surveyAction(\'no\'); return false;"">Remove this notification</a>","Chúng tôi đánh giá cao các phản hồi của Quý khách, xin <a href=""#"" onclick=""surveyAction(\'yes\'); return false;"">tham gia khảo sát của chúng tôi</a> để cung cấp các nhận xét sâu sắc về các tính năng Quý khách muốn bao gồm trong STCMeCOM. <a href=""#"" onclick=""surveyAction(\'no\'); return false;"">Loại bỏ thông báo này</a>"
"Web Section",Website
"Web services","Các dịch vụ Web"
"Web Services","Các dịch vụ Web"
"Website: ","@FIXME: website:"
Website,"@FIXME: website"
[WEBSITE],"@FIXME: [ WEBSITE ]"
Websites,"@FIXME: các trang web"
"website(%s) scope","phạm vi website(%s)"
"Websites / Stores","@FIXME: Trang web / Cửa hàng"
"We\'re in our typing table, coding away more features for Magento. Thank you for your patience.","Chúng tôi đang phát triển bộ soạn thảo và sẽ lập trình thêm nhiều tính năng mới cho STCMeCOM. Xin cảm ơn sự kiên nhẫn của Quý khách."
"We're in our typing table, coding away more features for Magento. Thank you for your patience.",@TODO
"What is this?","Đây là gì?"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Khi chọn 'Không', chỉ các trường được bản đồ hóa là được nhập vào. Khi bản đồ hóa, sử dụng 'Cột 1', 'Cột 2', v.v.)"
"Wishlist item is not loaded.","Sản phẩm yêu thích không được tải."
"Wishlist Report","Báo cáo sản phẩm yêu thích"
"Wrong account specified.","Xác nhận tài khoản sai."
"Wrong billing agreement ID specified.","Xác nhận ID thỏa thuận thanh toán sai."
"Wrong column format","@FIXME: Định dạng cột sai"
"Wrong column format.","Sai định dạng cột."
"Wrong newsletter template.","Sai mẫu bản tin điện tử."
"Wrong quote item.","Sai trích dẫn mặt hàng."
"Wrong tab configuration","@FIXME: Cấu hình tab sai"
"Wrong tab configuration.","Sai cấu hình 'tab'."
"Wrong tag was specified.","Xác định thẻ sai."
"Wrong transaction ID specified.","Xác định ID giao dịch sai."
"XML data is invalid.","Dữ liệu XML không hợp lệ."
XML,"@FIXME: XML"
"XML object is not instance of ""Varien_Simplexml_Element"".","Đối tượng XML không phải là ví dụ của ""Varien_Simplexml_Element""."
Year,Năm
"Yes (301 Moved Permanently)","Có (301 Di chuyển cố định)"
"Yes (302 Found)","Có (302 Được tìm thấy)"
Yes,Có
"Yes (only price with tax)","Có (chỉ giá bao gồm thuế)"
"You cannot delete account of yourself","@FIXME: Bạn không thể xóa tài khoản của mình"
"You can not delete self assigned roles.","@FIXME: Bạn không thể xóa vai trò tự giao."
"You cannot delete your own account.","Quý khách không thể xóa tài khoản của chính mình"
"You have","@FIXME: bạn có"
"You have logged out.","Quý khách đã đăng xuất."
"You have not enough permissions to use this functionality.","Quý khách không đủ quyền để sử dụng chức năng này."
"You have not enought permissions to login.","@FIXME: Bạn không có quyền enought để đăng nhập."
"You have not enought permissions to use this functionality.","@FIXME: Bạn có quyền không enought để sử dụng chức năng này."
"You have %s, %s and %s unread messages. <a href=""%s"">Go to messages inbox</a>.","Quý khách có %s, %s và %s tin nhắn chưa đọc. <a href=""%s"">Mở hộp thư đến</a>."
"You have %s unread message(s). <a href=""%s"">Go to messages inbox</a>.","Quý khách có %s tin nhắn chưa đọc. <a href=""%s"">Mở hộp thư đến</a>."
"You have %s unread message(s).","Quý khách có %s tin nhắn chưa đọc."
"(You have to increase php memory_limit before changing this value)","(Quý khách cần tăng 'php memory_limit' trước khi thay đổi giá trị này)"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Quý khách phải kích hoạt JavaScript trong trình duyệt để sử dụng các chức năng của website này."
"You need specify carrier.","@FIXME: Bạn cần xác định tàu sân bay."
"You need to specify order items","@FIXME: Bạn cần xác định mục để"
"You need to specify order items.","Quý khách cần xác định các mặt hàng được đặt hàng."
"Your answers contain duplicates.","Câu trả lời của Quý khách có chứa bản sao."
"Your password has been updated.","Mật khẩu của Quý khách đã được cập nhật."
"Your password reset link has expired.","Liên kết đặt lại mật khẩu của Quý khách đã hết hạn."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Các thiết lập máy chủ PHP của Quý khách cho phép Quý khách tải lên các tập tin mỗi lần không lớn hơn %s. Xin chỉnh sửa các giá trị 'post_max_size' (hiện tại là %s) và 'upload_max_filesize' (hiện tại là %s) trong 'php.ini' nếu Quý khách muốn tải lên các tập tin lớn hơn."
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Máy chủ web của Quý khách được cấu hình không chính xác. Kết quả là, các tập tin cấu hình với thông tin nhạy cảm có thể truy cập từ bên ngoài. Xin liên hệ với nhà cung cấp dịch vụ máy chủ của Quý khách."
"You successfully logged out.","@FIXME: Bạn đã đăng nhập thành công."
" You will need to navigate to your "," Quý khách cần chuyển tới trang của mình "
"You will need to wait when the action ends.","Quý khách cần đợi tới khi hoạt động kết thúc."
YTD,"1 năm qua"
"Zip/Postal Code:","Mã bưu điện:"
"Zip/Postal Code","Mã bưu điện"
